MPC;exp_name
MPC_410;MM_cytoscanHD_27062019_1141_(CytoScanHD_Array)
MPC_394;MM_cytoscanHD_07042019_1146_(CytoScanHD_Array)
MPC_285;MM_cytoscanHD_07042019_1148_(CytoScanHD_Array)
MPC_234;MM_cytoscanHD_30082019_1150_(CytoScanHD_Array)
MPC_273;MM_cytoscanHD_30082019_1154_(CytoScanHD_Array)
MPC_230;MM_cytoscanHD_05092019_1163_(CytoScanHD_Array)
MPC_118;MM_cytoscanHD_24092019_1166_(CytoScanHD_Array)
MPC_265;MM_cytoscanHD_24092019_1169_(CytoScanHD_Array)
MPC_284;MM_cytoscanHD_24092019_1172_(CytoScanHD_Array)
MPC_220;MM_cytoscanHD_18102019_1173_(CytoScanHD_Array)
MPC_162;MM_cytoscanHD_29102019_1181_(CytoScanHD_Array)
MPC_178;MM_cytoscanHD_29102019_1185_(CytoScanHD_Array)
MPC_228;MM_cytoscanHD_22112019_1188_(CytoScanHD_Array)
MPC_157;MM_cytoscanHD_22112019_1194_(CytoScanHD_Array)
MPC_249;MM_cytoscanHD_06122019_1196_(CytoScanHD_Array)
MPC_275;MM_cytoscanHD_06122019_1201_(CytoScanHD_Array)
MPC_278;MM_cytoscanHD_20122019_1203_(CytoScanHD_Array)
MPC_282;MM_cytoscanHD_20122019_1205_(CytoScanHD_Array)
MPC_283;MM_cytoscanHD_20122019_1207_(CytoScanHD_Array)
MPC_288;MM_cytoscanHD_20122019_1209_(CytoScanHD_Array)
MPC_294;MM_cytoscanHD_10012020_1213_(CytoScanHD_Array)
MPC_304;MM_cytoscanHD_10012020_1217_(CytoScanHD_Array)
MPC_292;MM_cytoscanHD_13022020_1219_(CytoScanHD_Array)
MPC_242;MM_cytoscanHD_13022020_1220_(CytoScanHD_Array)
MPC_308;MM_cytoscanHD_13022020_1223_(CytoScanHD_Array)
MPC_216;MM_cytoscanHD_14022020_1234_(CytoScanHD_Array)
MPC_222;MM_cytoscanHD_26022020_1238_(CytoScanHD_Array)
MPC_266;MM_cytoscanHD_26022020_1239_(CytoScanHD_Array)
MPC_358;MM_cytoscanHD_26022020_1240_(CytoScanHD_Array)
MPC_819;MM_cytoscanHD_07052020_1256_(CytoScanHD_Array)
MPC_441;MM_cytoscanHD_07052020_1257_(CytoScanHD_Array)
MPC_502;MM_cytoscanHD_14052020_1268_(CytoScanHD_Array)
MPC_437;MM_cytoscanHD_26052020_1272_(CytoScanHD_Array)
MPC_485;MM_cytoscanHD_26052020_1274_(CytoScanHD_Array)
MPC_869;MM_cytoscanHD_26052020_1276_(CytoScanHD_Array)
MPC_984;MM_cytoscanHD_29052020_1280_(CytoScanHD_Array)
MPC_850;MM_cytoscanHD_05062020_1287_(CytoScanHD_Array)
MPC_378;MM_cytoscanHD_22012021_1296_(CytoScanHD_Array)
MPC_163;MM_cytoscanHD_05022021_1301_(CytoScanHD_Array)
MPC_125;MM_cytoscanHD_18022021_1306_(CytoScanHD_Array)
MPC_367;MM_cytoscanHD_01032021_1308_(CytoScanHD_Array)_bis
MPC_539;MM_cytoscanHD_19102021_1337_(CytoScanHD_Array)
MPC_528;MM_cytoscanHD_19102021_1340_(CytoScanHD_Array)
MPC_263;MM_cytoscanHD_19102021_1345_(CytoScanHD_Array)
MPC_164;MM_cytoscanHD_19102021_1347_(CytoScanHD_Array)
MPC_99;MM_cytoscanHD_17112021_1358_(CytoScanHD_Array)
MPC_425;MM_cytoscanHD_17112021_1359_(CytoScanHD_Array)
MPC_192;MM_cytoscanHD_17112021_1367_(CytoScanHD_Array)
MPC_177;MM_cytoscanHD_1375_011221_(CytoScanHD_Array)
MPC_102;MM_cytoscanHD_19032021_1314_(CytoScanHD_Array)
MPC_160;MM_cytoscanHD_19032021_1316_(CytoScanHD_Array)
MPC_171;MM_cytoscanHD_19032021_1317_(CytoScanHD_Array)
MPC_297;MM_cytoscanHD_19032021_1319_(CytoScanHD_Array)
MPC_511;MM_cytoscanHD_25032021_1321_(CytoScanHD_Array)
MPC_123;MM_cytoscanHD_25032021_1324_(CytoScanHD_Array)
MPC_122;MM_cytoscanHD_25032021_1327_(CytoScanHD_Array)
MPC_173;MM_cytoscanHD_15042021_1334_(CytoScanHD_Array)
MPC_175;MM_cytoscanHD_15042021_1335_(CytoScanHD_Array)
MPC_877;MM_cytoscanHD_1385_071221_(CytoScanHD_Array)
